ID,Fiction,Sci-Fict,Baby_Toddler,  Teen, Manga,Art&Hist,SelfImprov,Cooking, Games, Gifts,Journals,  News,NonFict,HairyPottery,Mysteries,Thrillers,Classics,Poetry,Romance,Horror
31,     2,     7,     8,     6,     0,     2,     3,     7,     7,     8,     3,     1,     2,     0,     2,     2,     3,     6,     6,     7
32,     3,     7,     9,     3,     0,     2,     4,     5,     5,     8,     2,     1,     1,     0,     2,     7,     1,     3,     6,    10
33,     4,     8,     0,     9,     6,     1,     5,     0,     7,     8,     9,     0,     2,     4,     5,     3,     1,     7,     6,     3
34,     4,     7,     7,     9,     1,     1,     5,     2,    10,     5,     2,     0,     1,     1,     2,     4,     1,     3,     8,     9
35,     6,     8,     1,     8,     7,     0,     1,     0,     3,     3,     8,     1,     3,     8,     2,     7,     2,     5,     3,     2
36,     3,     6,     5,     4,     0,     1,     5,     3,     9,     6,     2,     1,     4,     0,     1,     2,     0,     8,    10,    10
37,     2,     0,     3,    10,     3,     0,     9,     7,     2,     6,     1,     1,     5,     2,     8,     3,     6,     8,     3,     1
38,     7,     8,     8,     8,     0,     2,     5,     4,    10,     3,     2,     0,     2,     0,     1,     1,     1,     3,     7,    10
39,     3,     3,     5,     8,     0,     2,     3,     3,     6,     3,     1,     2,     0,     1,     1,     3,     2,     6,     8,    10
40,     9,     6,     5,     9,     7,     1,     4,     1,     6,     4,     6,     1,     3,     8,     4,     2,     0,     7,     3,     1
41,     5,     7,    10,     6,     0,     2,     4,     4,    10,     4,     5,     0,     0,     0,     4,     2,     2,     4,     8,     9
42,     3,     1,     4,     9,     2,     2,     7,     4,     0,     3,     0,     2,     2,     2,     8,     6,     6,     3,     5,     4
43,     6,     5,     9,     4,     0,     2,     4,     6,     7,     5,     3,     0,     3,     0,     2,     1,     2,     4,     9,     8
44,     6,     7,     3,     6,     5,     3,     3,     0,     4,     6,     7,     1,     2,     7,     2,     3,     3,     4,     4,     4
45,     6,     7,     2,     6,     4,     0,     2,     0,     6,     8,     5,     5,     4,     6,     1,     5,     1,     4,     6,     5
46,     5,     6,     8,     5,     0,     1,     7,     4,     9,     5,     4,     0,     1,     1,     1,     0,     2,     4,     9,    10
47,     4,     6,     7,     1,     1,     2,     0,     6,     6,     7,     1,     6,     9,     4,     4,     1,     9,     4,     2,     0
48,     8,     5,     2,    10,     6,     2,     4,     1,     5,     5,     7,     2,     6,     6,     2,     4,     0,     4,     6,     7
49,     6,     6,     7,     6,     0,     1,     7,     7,     9,     5,     5,     0,     0,     0,     3,     1,     2,     3,    10,     9
50,     8,     9,     3,     6,     3,     1,     4,     1,     4,     6,     7,     1,     2,     8,     3,     2,     1,     5,     5,     1
51,     3,     4,     9,     0,     0,     1,     3,     3,     6,     4,     6,     4,     8,     5,     0,     1,     5,     4,     2,     0
52,     1,     3,     6,     8,     1,     0,     5,     6,     2,     5,     1,     5,     2,     1,     7,     7,     6,     3,     7,     2
53,     3,     4,     9,     6,     0,     2,     4,     6,     6,     6,     3,     2,     1,     0,     4,     1,     1,     4,     9,     9
54,     1,     0,     4,     9,     2,     1,     6,     4,     2,     7,     1,     2,     5,     2,     7,     7,     9,     7,     4,     0
55,     0,     2,     1,     8,     1,     2,     7,     6,     0,     5,     0,     1,     2,     3,     7,     5,     8,     6,     6,     2
56,     4,     1,     1,     7,     3,     1,     7,     8,     1,     5,     2,     2,     6,     4,     5,     6,     8,     4,     6,     2
57,     2,     3,     1,     8,     4,     2,     7,     8,     1,     2,     1,     1,     8,     4,     7,     5,     7,     2,     3,     2
58,     4,     6,     9,     6,     0,     1,     3,     6,     8,     2,     2,     0,     0,     3,     2,     2,     3,     7,     9,     9
59,     5,     5,     9,     1,     1,     0,     1,     4,     7,     3,     1,     4,     9,     4,     3,     4,     8,     3,     0,     0
60,     6,     7,     1,     9,     8,     0,     2,     2,     4,     6,     6,     3,     5,     8,     1,     0,     4,     6,     6,     5
61,     6,     8,     1,     5,     5,     0,     3,     1,     6,     8,     5,     1,     4,     7,     4,     7,     3,     4,     3,     5
62,     5,     3,     1,     5,     3,     0,     4,     0,     8,     5,     6,     4,     3,     8,     1,     3,     1,     5,     7,     3
63,     3,     4,     2,     7,     2,     0,     8,     8,     1,     4,     0,     1,     3,     3,     5,     7,     7,     8,     3,     4
64,     7,     8,     1,     7,     6,     0,     2,     0,     4,     5,     6,     1,     3,     3,     5,     6,     5,     5,     2,     3
65,     3,     4,    10,     2,     0,     0,     2,     7,     4,     4,     1,     8,     6,     1,     1,     1,     7,     3,     0,     0
66,     4,     2,     4,     7,     2,     1,     8,     5,     1,     4,     1,     0,     4,     1,     6,     5,     8,     7,     2,     0
67,     2,     7,     9,     1,     2,     0,     0,     7,     6,     5,     2,     6,     9,     5,     3,     4,     7,     7,     0,     0
68,     6,     6,     8,     5,     0,     1,     4,     4,     9,     7,     3,     1,     0,     0,     3,     1,     2,     1,     7,     9
69,     1,     2,     0,     9,     1,     3,     8,     6,     1,     6,     0,     1,    10,     3,     8,     6,     5,     7,     2,     1
70,     4,     6,    10,     3,     1,     0,     3,     2,     6,     6,     2,     0,     1,     1,     2,     3,     1,     4,     9,    10
71,     9,     9,     0,    10,     5,     2,     3,     1,     4,     6,     8,     1,     1,     6,     1,     4,     0,     6,     3,     1
72,     3,     9,     8,     0,     1,     2,     1,     7,     7,     5,     2,     6,     9,     5,     0,     3,    10,     3,     0,     0
73,     6,     4,    10,     9,     0,     0,     3,     3,     8,     6,     2,     0,     1,     0,     2,     1,     1,     3,     9,     8
74,     1,     4,     4,     9,     3,     0,     8,     4,     1,     3,     0,     2,     6,     3,     6,     2,     6,     7,     6,     3
75,     7,     7,     2,     9,     4,     0,     2,     1,     6,     5,     9,     2,     2,     6,     3,     4,     1,     6,     2,     2
76,     3,     6,     9,     0,     2,     0,     0,     2,     8,     3,     2,     5,    10,     6,     4,     1,     7,     8,     2,     0
77,     1,     1,     2,     7,     1,     0,     8,     5,     2,     3,     2,     1,     5,     4,     7,     5,     5,     3,     5,     2
78,     3,     6,     9,     1,     2,     2,     0,     2,     4,     3,     1,     3,    10,     4,     1,     4,     6,     4,     1,     0
79,     8,     8,     0,     6,     7,     1,     2,     1,     6,     6,     6,     3,     1,     6,     3,     6,     1,     7,     6,     2
80,     1,     1,     2,     9,     4,     1,     7,     6,     0,     4,     0,     4,     5,     1,     4,     8,     8,     2,     4,     3
81,     7,     7,    10,     8,     1,     0,     2,     2,     8,     3,     2,     0,     0,     0,     4,     2,     1,     4,    10,     8
82,     7,     8,     2,     8,     4,     2,     4,     2,     5,     3,     6,     1,     6,     4,     1,     2,     1,     6,     4,     1
83,     2,     6,     7,     0,     1,     1,     3,     5,     2,     2,     1,     5,     9,     7,     3,     1,     9,     3,     1,     0
84,     2,     6,     8,     1,     0,     1,     2,     3,     5,     3,     2,     5,     9,     2,     2,     6,     4,     3,     0,     0
85,     4,     6,     3,     9,     8,     1,     5,     0,     4,     4,     8,     2,     2,     4,     3,     2,     1,     4,     1,     6
86,     2,     4,     8,     4,     3,     0,     2,     4,     2,     5,     3,     4,    10,     5,     1,     3,     6,     4,     1,     0
87,     2,     5,     9,     0,     3,     0,     1,     8,     6,     3,     3,     3,     9,     4,     3,     2,     5,     4,     1,     0
88,     2,     5,    10,     2,     1,     2,     2,     3,     4,     7,     3,     5,     9,     4,     2,     1,     6,     3,     1,     0
89,     6,     7,    10,     6,     0,     0,     2,     6,     8,     5,     6,     1,     1,     0,     2,     1,     1,     4,     6,    10
90,     0,     3,     1,     5,     3,     2,     6,     6,     1,     7,     0,     2,     4,     5,     8,     6,     6,     6,     5,     0
91,     8,     9,     2,     6,     9,     1,     5,     1,     8,     3,     7,     4,     4,     6,     2,     1,     2,     2,     7,     2
92,     7,     6,     1,     9,     7,     1,     4,     0,     5,     1,     7,     0,     1,     8,     2,     4,     2,     2,     7,     3
93,     7,     4,     3,    10,     5,     1,     5,     0,     2,     5,     9,     1,     4,     6,     2,     4,     2,     7,     5,     1
94,     4,     6,     7,     7,     0,     1,     6,     4,     4,     2,     4,     0,     1,     0,     3,     3,     3,     4,     8,    10
95,     7,     4,    10,     4,     0,     0,     3,     6,     8,     5,     2,     2,     0,     0,     2,     2,     0,     8,     8,    10
96,     1,     1,     1,     5,     2,     0,     8,     5,     1,     4,     1,     4,     2,     2,     8,     4,     5,     2,     6,     1
97,     2,     2,     3,     7,     3,     1,     7,     4,     1,     7,     2,     2,     5,     3,     6,     2,     6,     3,     7,     5
98,     2,     3,     3,     8,     2,     2,     9,     6,     1,     4,     0,     1,     3,     3,     5,     3,     9,     4,     7,     3
99,     6,     5,     9,     8,     0,     0,     5,     7,     8,     7,     3,     0,     1,     1,     3,     2,     2,     3,     8,     9
100,     3,     8,     9,     7,     1,     0,     5,     5,     8,     7,     6,     0,     2,     0,     4,     0,     2,     3,     8,    10
101,     1,     3,     2,     9,     2,     2,     9,     5,     1,     6,     3,     2,     5,     1,     6,     4,     6,     5,     4,     4
102,     2,     5,     0,     9,     4,     2,     7,     4,     0,     4,     1,     3,     5,     2,     7,     4,     7,     6,     4,     1
103,     4,     7,     8,     7,     0,     0,     4,     5,     9,     6,     7,     0,     0,     1,     2,     1,     2,     5,     9,     8
104,     3,     7,     7,     1,     2,     0,     1,     4,     6,     6,     0,     3,     8,     1,     6,     0,     7,     4,     0,     0
105,     0,     2,     2,     8,     3,     3,     9,     4,     3,     5,     1,     2,     5,     2,     4,     4,     7,     4,     5,     2
106,     0,     7,    10,     0,     1,     2,     2,     4,     3,     5,     1,     4,    10,     2,     5,     2,     9,     5,     1,     0
107,     8,     6,     1,     7,     7,     1,     1,     2,     8,     4,     4,     1,     2,     8,     3,     2,     0,     2,     5,     1
108,     9,     6,     0,     7,     7,     0,     4,     1,     4,     5,     8,     0,     4,     8,     2,     4,     1,     5,     6,     2
109,     3,     6,    10,     2,     2,     0,     0,     5,     6,     6,     5,     5,     9,     7,     1,     3,     6,     6,     1,     0
110,     3,     7,    10,     7,     0,     0,     5,     4,     7,     6,     3,     1,     1,     2,     0,     1,     1,     5,     8,     8
111,     6,     6,     9,     8,     2,     2,     5,     4,     9,     4,     1,     1,     1,     0,     3,     3,     3,     4,     7,    10
112,     4,     2,     5,     7,     1,     0,     7,     3,     0,     5,     1,     1,     1,     2,    10,     8,     9,     3,     7,     2
113,     8,     7,    10,     5,     0,     1,     7,     5,     9,     5,     1,     1,     1,     0,     2,     2,     1,     3,     9,     9
114,     4,     6,     8,     2,     0,     1,     0,     6,     8,     3,     2,     7,     8,     5,     4,     3,     7,     6,     1,     0
115,     3,     4,     9,     5,     0,     0,     6,     3,     7,     2,     3,     1,     0,     0,     2,     2,     1,     4,     8,     7
116,     4,     6,     8,     7,     0,     0,     5,     3,     6,     6,     4,     0,     0,     0,     2,     2,     4,     8,     8,     9
117,     9,     6,     9,     6,     1,     0,     5,     5,     9,     2,     3,     0,     0,     1,     1,     2,     3,     7,     9,    10
118,     1,     3,     0,     6,     3,     2,     8,     6,     1,     3,     1,     3,     5,     2,     6,     6,     5,     3,     6,     1
119,     2,     7,     6,     0,     2,     2,     0,     6,     4,     5,     2,     4,     8,     7,     2,     2,     6,     5,     0,     0
120,     3,     3,    10,     2,     3,     1,     1,     5,     4,     5,     2,     5,     8,     5,     4,     5,     6,     6,     1,     0
121,     6,     6,     2,     8,     6,     1,     5,     0,     4,     6,     6,     1,     0,     6,     3,     1,     2,     5,     4,     4
122,     6,     9,     9,     6,     1,     3,     4,     5,     8,     7,     2,     3,     0,     0,     1,     3,     1,     6,     7,    10
123,     2,     2,     1,     6,     4,     0,    10,     7,     0,     5,     0,     2,     5,     2,     6,     5,     7,     5,     4,     3
124,     1,     8,     8,     0,     0,     3,     1,     3,     4,     6,     2,     7,     6,     4,     3,     2,     8,     4,     0,     0
125,     2,     2,     6,     1,     1,     2,     0,     6,     5,     6,     2,     3,    10,     5,     2,     5,     9,     8,     1,     0
126,     1,     3,     1,     7,     3,     2,    10,     5,     2,     6,     2,     3,     2,     3,     7,     8,     6,     6,     6,     2
127,     3,     0,     0,     9,     3,     2,     6,     4,     1,     3,     2,     2,     4,     2,     5,     4,     8,     4,     6,     2
128,     1,     7,     8,     1,     1,     0,     3,     6,     2,     3,     3,     6,     9,     6,     0,     4,     9,     6,     0,     0
129,     2,     2,     2,     9,     1,     0,    10,     2,     1,     5,     2,     3,     1,     2,     9,     1,     3,     5,     4,     3
130,     8,     7,     2,     8,     5,     1,     2,     1,     4,     5,     7,     3,     3,     4,     2,     4,     2,     3,     4,     1
131,     5,     5,     2,     7,     2,     0,     1,     4,     5,     4,     6,     1,     2,     8,     2,     4,     2,     1,     6,     3
132,     5,     7,     0,     8,     5,     0,     4,     0,     5,     5,     7,     0,     2,     8,     3,     2,     2,     4,     5,     2
133,     2,     5,    10,     0,     0,     0,     0,     5,     7,     6,     3,     6,    10,     7,     2,     4,     7,     4,     1,     0
134,     9,    10,     2,     6,     5,     2,     4,     2,     6,     5,     7,     1,     3,     7,     3,     4,     1,     6,     4,     4
135,     7,     5,     9,     7,     0,     2,     6,     6,     7,     5,     4,     0,     4,     0,     1,     3,     2,     5,     8,     9
136,     4,     6,     8,     1,     1,     0,     0,     5,     5,     3,     4,     7,     8,     6,     0,     1,     8,     5,     1,     0
137,     7,     7,     1,     7,     5,     0,     3,     1,     9,     3,     8,     3,     1,     6,     3,     2,     3,     5,     7,     2
138,     4,     7,     1,     6,     7,     1,     5,     1,     5,     4,     7,     4,     4,     5,     5,     4,     2,     6,     5,     3
139,     2,     6,    10,     0,     1,     1,     2,     5,     6,     4,     2,     5,    10,     5,     3,     3,     7,     6,     1,     0
140,     6,     5,     7,     5,     0,     0,     6,     5,     7,     5,     4,     2,     1,     1,     0,     0,     0,     3,     8,    10
141,     1,     1,     0,     8,     2,     1,     6,     6,     1,     3,     1,     2,     4,     3,     4,     4,     6,     5,     5,     4
142,     8,     6,     0,     7,     5,     2,     3,     0,     3,     3,     7,     1,     2,     5,     2,     2,     1,     6,     5,     4
143,     3,     0,     2,     6,     3,     0,     9,     6,     1,     5,     2,     1,     4,     4,     7,     6,     6,     5,     7,     0
144,     2,     4,     8,     1,     0,     1,     2,     6,     7,     4,     1,     5,     7,     5,     5,     3,     7,     8,     0,     0
145,     5,     6,     8,     4,     0,     0,     1,     4,     7,     5,     2,     1,     2,     1,     3,     1,     2,     4,     9,     8
146,     4,     0,     2,     8,     2,     1,     7,     7,     1,     2,     2,     1,     3,     3,     7,     4,     8,     5,     5,     3
147,     6,     8,     1,     8,     6,     2,     5,     1,     7,     6,     7,     6,     5,     9,     3,     5,     0,     6,     5,     2
148,     4,     1,     2,     8,     2,     1,     9,     6,     2,     6,     0,     0,     4,     2,     8,     5,     9,     7,     5,     4
149,     6,     5,     9,     5,     0,     2,     3,     4,     9,     5,     3,     0,     0,     0,     2,     2,     2,     8,     7,    10
150,     8,     8,     1,     5,     6,     1,     3,     1,     8,     2,     5,     1,     6,     9,     1,     2,     2,     8,     5,     3
151,     4,     8,     9,     2,     2,     3,     1,     5,     4,     7,     5,     9,    10,     3,     4,     2,    10,     7,     0,     0
152,     1,     6,     8,     2,     1,     1,     1,     6,     6,     6,     2,     6,     9,     3,     3,     3,     9,     4,     0,     0
153,     1,     1,     2,     9,     3,     1,     7,     6,     0,     2,     2,     4,     4,     4,     6,     7,     9,     7,     6,     2
154,     6,     6,     8,     7,     0,     3,     6,     5,     9,     6,     1,     1,     2,     2,     2,     1,     2,     4,     6,     9
155,     7,     5,     1,     8,     5,     0,     2,     0,     7,     8,     7,     1,     1,     7,     6,     3,     1,     3,     5,     2
156,     3,     6,    10,     1,     2,     0,     1,     6,     6,     5,     1,     4,     9,     5,     2,     4,     8,     5,     1,     0
157,     9,     4,     7,     5,     0,     3,     6,     3,    10,     4,     2,     0,     0,     0,     3,     2,     1,     3,     8,     9
158,     4,     6,    10,     2,     0,     0,     1,     2,     7,     5,     0,     8,    10,     3,     2,     1,     7,     8,     0,     0
159,     6,     7,     2,     6,     7,     2,     5,     0,     6,     3,     5,     1,     4,     5,     2,     2,     0,     6,     6,     3
160,     7,     9,     1,     8,     7,     0,     3,     0,     8,     3,     8,     2,     1,     6,     1,     2,     0,     3,     5,     0
161,     3,     9,     8,     0,     1,     1,     0,     5,     6,     5,     1,     3,    10,     8,     2,     4,     6,     6,     1,     0
162,     1,     1,     4,     8,     1,     1,     7,     9,     2,     3,     0,     3,     6,     3,     6,     4,     6,     5,     4,     1
163,     8,     5,     1,     8,     7,     2,     5,     0,     6,     5,     8,     3,     2,     9,     3,     2,     5,     3,     4,     4
164,     8,     9,     2,     5,     7,     1,     4,     0,     5,     6,     7,     2,     4,     6,     3,     3,     2,     3,     6,     2
165,     2,     5,     3,     8,     2,     1,     8,     4,     0,     5,     0,     2,     5,     3,     2,     5,     8,     4,     7,     2
166,     9,     8,     1,     7,     6,     3,     5,     1,     6,     6,     5,     1,     0,     5,     5,     4,     0,     7,     6,     2
167,     5,     3,     4,     9,     4,     1,     7,     4,     0,     5,     0,     0,     6,     5,     6,     6,     7,     4,     6,     5
168,     6,     8,     7,     7,     1,     1,     6,     4,     9,     5,     2,     1,     2,     0,     2,     3,     2,     6,     8,     9
169,     2,     2,     4,     8,     2,     2,     9,     5,     1,     5,     1,     2,     2,     5,     7,     8,     7,     4,     3,     3
170,     4,     6,     9,     5,     0,     2,     4,     7,     7,     3,     4,     4,     3,     0,     0,     2,     3,     5,     9,    10
171,     4,     6,     4,     5,     8,     1,     1,     1,     7,     5,     5,     0,     3,     6,     2,     1,     2,     3,     6,     5
172,     9,     7,     0,     7,     7,     0,     2,     3,     4,     5,     4,     2,     3,     6,     2,     2,     3,     8,     4,     1
173,     8,     6,     1,     5,     6,     0,     3,     2,     4,     5,     9,     2,     5,     6,     3,     5,     3,     4,     6,     4
174,     2,     6,     6,     6,     0,     0,     5,     3,     7,     5,     4,     1,     2,     0,     2,     3,     2,     5,     9,    10
175,     3,     2,     5,     4,     4,     0,     8,     6,     0,     6,     1,     3,     3,     6,     8,     3,     7,     2,     6,     0
176,     4,     2,     3,     6,     1,     3,     7,     4,     1,     4,     1,     2,     6,     0,     6,     5,     6,     6,     6,     1
177,     3,     2,     4,     9,     1,     3,     7,     4,     1,     4,     2,     2,     3,     1,     8,     5,     7,     6,     5,     1
178,     3,     4,     6,     0,     1,     1,     2,     5,     4,     3,     1,     7,    10,     5,     2,     2,     6,     5,     0,     0
179,     0,     5,    10,     1,     1,     2,     1,     6,     6,     5,     1,     8,     9,     5,     3,     2,     4,     6,     0,     0
180,     3,     6,     9,     0,     1,     1,     1,     6,     5,     7,     5,     5,     8,     5,     4,     3,     6,     4,     0,     0
181,     2,     5,     9,     0,     0,     0,     1,     5,     1,     3,     1,     8,     8,     6,     2,     1,     8,     2,     0,     0
182,     2,     1,     1,    10,     0,     0,     7,     7,     2,     2,     1,     2,     6,     4,     7,     6,     6,     7,     4,     2
183,     8,     8,     9,     6,     0,     1,     4,     6,     7,     7,     4,     0,     1,     1,     0,     1,     3,     6,     9,     8
184,     2,     1,     1,     9,     3,     3,     9,     4,     0,     7,     1,     1,     3,     3,     7,     5,     8,     4,     7,     1
185,     5,     7,     2,     8,     9,     0,     6,     0,     6,     4,     7,     2,     6,     6,     2,     3,     2,     4,     4,     1
186,     1,     3,     2,    10,     2,     1,     9,     6,     1,     7,     1,     2,     5,     2,     5,     5,     7,     6,     5,     1
187,     7,     6,     2,    10,     6,     1,     1,     0,     7,     5,     6,     2,     2,     7,     2,     3,     3,     5,     4,     2
188,     3,     6,    10,     0,     1,     1,     0,     7,     5,     5,     1,     4,     9,     3,     5,     1,     8,     2,     0,     0
189,     5,     4,     7,     6,     0,     2,     6,     4,     7,     8,     4,     1,     0,     0,     1,     3,     1,     6,     9,     9
190,     8,     8,     9,     5,     0,     1,     6,     6,     6,     5,     2,     0,     2,     2,     0,     0,     2,     6,     9,     9
191,     0,     1,     1,     6,     1,     0,     6,     4,     0,     6,     2,     2,     3,     1,     9,     5,     9,     6,     2,     4
192,     1,     2,     2,     7,     2,     1,    10,     5,     2,     7,     0,     1,     4,     2,     8,     5,     7,     7,     3,     2
193,     4,     8,     9,     7,     0,     2,     5,     7,     7,     4,     5,     3,     1,     2,     3,     2,     2,     6,     8,     9
194,     3,     3,     9,     1,     1,     1,     0,     7,     5,     3,     4,     4,     8,     7,     3,     4,     7,     7,     1,     0
195,     0,     6,     1,     7,     2,     2,     9,     3,     1,     6,     0,     2,     4,     1,     6,     6,     7,     8,     4,     3
196,     7,     6,     6,     7,     0,     0,     8,     6,     8,     4,     3,     0,     2,     1,     1,     1,     3,     4,     8,    10
197,     5,     6,     9,     3,     0,     1,     4,     6,     8,     6,     1,     1,     0,     0,     4,     1,     1,     6,     8,     9
198,     4,     8,     9,     5,     2,     1,     1,     7,     3,     4,     3,     6,     7,     1,     4,     3,     8,     4,     1,     0
199,     0,     1,     1,    10,     2,     1,     9,     6,     0,     3,     0,     1,     4,     0,     8,     5,     9,     4,     7,     3
200,     8,     8,     2,    10,     5,     1,     3,     2,     5,     2,     7,     1,     5,     8,     0,     2,     0,     4,     3,     3
201,     3,     4,     8,     0,     0,     0,     0,     3,     6,     4,     0,     5,    10,     5,     2,     3,     7,     5,     0,     0
202,     5,     8,     2,     7,     4,     2,     6,     0,     3,     2,    10,     1,     0,     8,     1,     1,     0,     6,     6,     1
203,     2,     1,     2,     7,     1,     1,    10,     9,     1,     5,     4,     4,     3,     3,     7,     3,     7,     4,     5,     2
204,     1,     2,     2,    10,     6,     0,    10,     4,     2,     5,     1,     3,     6,     4,     5,     5,     6,     6,     6,     5
205,     2,     0,     2,     9,     4,     2,     6,     3,     1,     5,     3,     0,     7,     2,     5,     7,     9,     7,     6,     2
206,     5,     6,     9,     5,     1,     1,     4,     6,     7,     5,     3,     1,     3,     1,     2,     0,     1,     5,    10,     9
207,     6,     9,     0,     6,     3,     1,     3,     1,     6,     5,     6,     4,     2,     6,     2,     5,     0,     5,     4,     0
208,     2,     0,     2,     7,     2,     0,     9,     5,     2,     6,     2,     0,     2,     1,     4,     3,     6,     7,     6,     3
209,     3,     7,     9,     0,     2,     3,     0,     3,     4,     5,     1,     7,     8,     6,     2,     2,    10,     4,     0,     0
210,     6,     6,     0,     5,     7,     0,     4,     3,     6,     2,     7,     2,     2,     8,     5,     2,     2,     7,     6,     1
211,     3,     8,     9,     6,     0,     0,     3,     3,     8,     4,     4,     1,     0,     0,     1,     2,     4,     5,     7,     8
212,     1,     2,     3,     6,     4,     4,     9,     5,     0,     7,     1,     0,     1,     3,     6,     5,     8,     2,     4,     3
213,     2,     7,     9,     1,     2,     1,     2,     2,     4,     5,     3,     2,     9,     2,     1,     2,     8,     3,     0,     0
214,     7,     5,     3,     6,     6,     0,     4,     1,     4,     4,     8,     2,     2,     6,     4,     3,     0,     2,     8,     4
215,     5,     4,     9,     4,     1,     2,     4,     2,     7,     3,     4,     0,     2,     1,     2,     2,     2,     7,     9,     9
216,     5,     8,     0,     6,     5,     1,     5,     2,     5,     4,     8,     1,     6,     5,     2,     2,     0,     5,     2,     2
217,     4,     6,    10,     9,     0,     0,     5,     5,     9,     3,     4,     3,     1,     0,     3,     3,     0,     5,     6,     9
218,     0,     7,     9,     2,     3,     1,     0,     3,     6,     6,     1,     5,     9,     6,     4,     1,     7,     5,     0,     0
219,     1,     1,     1,     8,     2,     0,     9,     7,     0,     5,     2,     1,     2,     3,     5,     7,     8,     4,     6,     4
220,     3,     4,     0,     5,     1,     0,     9,     5,     1,     4,     1,     1,     7,     1,     4,     7,     8,     5,     2,     2
221,     4,     8,     7,     8,     0,     0,     3,     5,     9,     6,     4,     0,     1,     0,     1,     4,     1,     8,     8,     9
222,     2,     5,     8,     1,     0,     1,     2,     5,     5,     5,     2,     3,     9,     8,     3,     3,     5,     7,     0,     0
